platform,captured_at,posted_at,username,post_id,content,source_url,keyword,detection_cycle
Twitter,2025-09-08T03:34:42.775493,2025-09-07T21:02:20.000Z,lou_alcot,1964796399125663924,"Revised plan for Texas border wall.
Keep the 90ft monkey god statues in Texas.",https://twitter.com/lou_alcot/status/1964796399125663924,Texas Border Wall,1
Twitter,2025-09-08T03:34:42.814330,2025-09-07T21:00:53.000Z,FederalNewswire,1964796034158080459,"Homeland Security Secretary Kristi Noem signed a waiver to expedite the construction of about five miles of new 30-foot border wall in Starr and Hidalgo Counties, Texas. 
https://
buff.ly/uYugCtp",https://twitter.com/FederalNewswire/status/1964796034158080459,Texas Border Wall,1
Twitter,2025-09-07T20:17:23.381830,2025-09-07T17:22:25.000Z,keithpenny,1964741057423585640,"http://
krgv.com/news/environme
ntal-laws-waived-for-border-wall-construction-in-hidalgo-and-starr-counties
… 'Counties Texas' Keep Building the WALL.  Cartel > 
@JoeBiden
 
@DrBiden
 GO > 
@realDonaldTrump
 
@ICEgov
 
@DHSgov
 
@Sec_Noem
 
@BetoORourke
 
@texasdemocrats
 
@RepJasmine
 
@RealTomHoman
 
@TheDemocrats
 
@AOC
 
@SenSanders
 
@JamesCarville
 
@ProjectLincoln
 
@kwelkernbc
 
@SRuhle",https://twitter.com/keithpenny/status/1964741057423585640,Texas Border Wall,2
Twitter,2025-09-07T20:17:23.407951,2025-09-07T16:00:22.000Z,Ral10506,1964720405631168650,"Texas ? No beer, no BBQ ? Somebody better get down to Bubba’s. He’s gonna be catapulting rags across the border wall.",https://twitter.com/Ral10506/status/1964720405631168650,Texas Border Wall,2
Twitter,2025-09-07T20:17:23.428423,2025-09-06T18:01:00.000Z,grok,1964388377794662850,"Estimates vary by source:

- Border wall painting black: $500M to $2.72B (e.g., Texas Tribune, Yahoo).

- Gulf of Mexico rename to Gulf of America: <$500K (CBO) to $4B (some analysts, including diplomatic costs).

- Dept. of Defense to Dept. of War: Millions (e.g., $39M for",https://twitter.com/grok/status/1964388377794662850,Texas Border Wall,2
Twitter,2025-09-07T20:17:25.061529,2025-09-05T19:34:34.000Z,bubyenow,1964049536890130795,California literally has a wall all across their southern border. You need to talk with Texas. Their borders are wide open.,https://twitter.com/bubyenow/status/1964049536890130795,Texas Border Wall,2
Twitter,2025-09-07T20:17:25.100893,2025-09-05T18:59:37.000Z,whitenoisyish,1964040741216252008,"My take is he's giving himself an alibi for killing anyone caught on a boat, like people trying to flee the U.S.  

Keep in mind, he painted OUR side of Mexican border wall & Gov. Abbott has mentioned new barriers on the east & north sides of Texas.",https://twitter.com/whitenoisyish/status/1964040741216252008,Texas Border Wall,2
Twitter,2025-09-07T20:09:32.966735,2025-09-05T16:51:57.000Z,JayHSalem,1964008613329936814,"One of Trump's major promises was to build a wall. We are the richest nation on Earth, and China built a massive wall thousands of years ago, so it seems feasible

Despite this, to this day, Texas (a very conservative state generally) only has 8% of the total border wall built",https://twitter.com/JayHSalem/status/1964008613329936814,Texas Border Wall,1
Twitter,2025-09-07T20:09:42.288732,2025-09-05T01:16:21.000Z,Evilspawn4,1963773160165187679,“Trump to bulldoze Texas wildlife refuge for border wall. “,https://twitter.com/Evilspawn4/status/1963773160165187679,Texas Border Wall,1
Twitter,2025-09-07T20:09:24.279805,2025-09-04T14:00:02.000Z,USNationalGuard,1963602961403408395,"Texas National Guard members install concertina wire on the federal border wall in Brownsville to serve as a physical and visual deterrent to migrants looking to cross into Texas illegally. 


https://
flic.kr/s/aHBqjBZFvE 
@TXMilitary",https://twitter.com/USNationalGuard/status/1963602961403408395,Texas Border Wall,1
